Time (Mars Years), Time (Ls), Tsurf 1 bar 30km, Tsurf 1 bar 50km, Tsurf 1 bar 100km
          [Years],     [deg],              [K],              [K],               [K]
        0.8863        308.81        280.150        286.543        320.368
        0.8878        309.35        280.110        286.451        320.380
        0.8893        309.88        280.093        286.413        320.289
        0.8908        310.42        280.083        286.406        320.312
        0.8923        310.96        280.053        286.335        320.329
        0.8938        311.50        280.022        286.311        320.287
        0.8953        312.04        280.004        286.263        320.259
        0.8968        312.58        279.953        286.241        320.268
        0.8983        313.11        279.910        286.184        320.338
        0.8998        313.65        279.917        286.115        320.243
        0.9013        314.19        279.990        286.042        320.119
        0.9028        314.73        279.983        285.935        320.011
        0.9043        315.27        279.954        285.869        319.979
        0.9058        315.81        279.930        285.808        320.005
