Time (Mars Years), Time (Ls), Tsurf 500 mb 30km, Tsurf 500 mb 50km, Tsurf 500 mb 100km
          [Years],     [deg],               [K],               [K],                [K]
        0.6267        215.34        252.815        263.947        311.754
        0.6282        215.87        252.698        263.877        311.656
        0.6297        216.41        252.485        263.815        311.609
        0.6312        216.95        252.422        263.624        311.505
        0.6327        217.49        252.402        263.529        311.378
        0.6342        218.03        252.281        263.429        311.317
        0.6357        218.57        252.148        263.294        311.247
        0.6372        219.10        251.997        263.071        311.162
        0.6386        219.64        251.866        262.922        311.062
        0.6401        220.18        251.736        262.720        311.011
        0.6416        220.72        251.641        262.522        310.932
        0.6431        221.26        251.526        262.399        310.842
        0.6446        221.80        251.523        262.235        310.765
        0.6461        222.34        251.447        262.075        310.674
        0.6476        222.87        251.300        261.977        310.586
        0.6491        223.41        251.240        261.879        310.418
        0.6506        223.95        251.160        261.756        310.351
        0.6521        224.49        251.096        261.682        310.362
        0.6536        225.03        251.075        261.575        310.373
        0.6551        225.57        251.010        261.432        310.307
        0.6566        226.10        250.967        261.261        310.196
        0.6581        226.64        250.924        261.092        310.145
        0.6596        227.18        250.822        260.916        310.036
        0.6611        227.72        250.793        260.723        310.001
        0.6626        228.26        250.748        260.462        309.928
        0.6641        228.80        250.638        260.328        309.829
        0.6656        229.33        250.447        260.208        309.767
        0.6671        229.87        250.294        260.098        309.723
        0.6686        230.41        250.229        260.057        309.684
        0.6701        230.95        250.142        259.942        309.606
        0.6716        231.49        249.960        259.843        309.482
        0.6731        232.03        249.780        259.610        309.431
        0.6745        232.57        249.696        259.368        309.423
        0.6760        233.10        249.677        259.264        309.300
        0.6775        233.64        249.636        259.138        309.154
        0.6790        234.18        249.528        259.035        309.098
        0.6805        234.72        249.433        258.891        309.095
        0.6820        235.26        249.409        258.694        309.017
        0.6835        235.80        249.395        258.523        308.986
        0.6850        236.33        249.330        258.285        308.937
        0.6865        236.87        249.273        258.113        308.883
        0.6880        237.41        249.186        257.997        308.822
        0.6895        237.95        249.070        257.890        308.713
        0.6910        238.49        248.937        257.717        308.710
        0.6925        239.03        248.800        257.437        308.664
        0.6940        239.57        248.646        257.215        308.605
        0.6955        240.10        248.551        256.953        308.516
        0.6970        240.64        248.459        256.764        308.392
        0.6985        241.18        248.304        256.627        308.298
        0.7000        241.72        248.170        256.516        308.184
        0.7015        242.26        248.102        256.308        308.147
        0.7030        242.80        247.967        256.100        308.043
        0.7045        243.33        247.757        256.078        307.953
        0.7060        243.87        247.576        255.930        307.880
        0.7075        244.41        247.430        255.753        307.743
        0.7089        244.95        247.373        255.594        307.691
        0.7104        245.49        247.414        255.462        307.661
        0.7119        246.03        247.401        255.336        307.595
        0.7134        246.56        247.309        255.265        307.535
        0.7149        247.10        247.220        255.097        307.518
        0.7164        247.64        247.147        254.924        307.411
        0.7179        248.18        246.980        254.723        307.280
        0.7194        248.72        246.703        254.482        307.250
        0.7209        249.26        246.591        254.255        307.264
        0.7224        249.80        246.410        254.100        307.127
        0.7239        250.33        246.336        253.987        306.981
        0.7254        250.87        246.287        253.811        306.946
        0.7269        251.41        246.164        253.601        306.942
        0.7284        251.95        246.052        253.456        306.872
        0.7299        252.49        245.928        253.264        306.823
        0.7314        253.03        245.854        253.060        306.763
        0.7329        253.56        245.788        252.842        306.711
        0.7344        254.10        245.766        252.673        306.691
        0.7359        254.64        245.738        252.539        306.609
        0.7374        255.18        245.614        252.378        306.557
        0.7389        255.72        245.449        252.251        306.399
        0.7404        256.26        245.249        252.144        306.259
        0.7419        256.80        245.119        252.019        306.190
        0.7427        257.12        245.058        251.959        306.130
        0.7442        257.66        245.016        251.692        306.074
        0.7457        258.19        244.913        251.554        306.002
        0.7472        258.73        244.844        251.418        305.929
        0.7487        259.27        244.875        251.210        305.886
        0.7502        259.81        244.884        251.057        305.808
        0.7517        260.35        244.854        250.832        305.639
        0.7532        260.89        244.745        250.712        305.511
        0.7547        261.42        244.616        250.506        305.469
        0.7562        261.96        244.467        250.291        305.440
        0.7577        262.50        244.267        250.062        305.377
        0.7592        263.04        244.220        249.913        305.311
        0.7607        263.58        244.177        249.734        305.247
        0.7622        264.12        244.056        249.541        305.146
        0.7637        264.66        243.908        249.361        304.981
        0.7652        265.19        243.861        249.183        304.958
        0.7667        265.73        243.747        249.124        304.896
        0.7682        266.27        243.518        249.123        304.860
        0.7697        266.81        243.514        249.022        304.770
        0.7712        267.35        243.470        248.914        304.589
        0.7727        267.89        243.353        248.740        304.533
        0.7742        268.42        243.132        248.594        304.386
        0.7756        268.96        242.975        248.550        304.381
        0.7771        269.50        242.966        248.380        304.303
        0.7786        270.04        242.804        248.258        304.199
        0.7801        270.58        242.652        248.223        304.123
        0.7816        271.12        242.510        248.057        303.976
        0.7831        271.66        242.478        247.885        303.927
        0.7846        272.19        242.495        247.650        303.886
        0.7861        272.73        242.349        247.397        303.762
        0.7876        273.27        242.301        247.136        303.655
        0.7891        273.81        242.308        246.937        303.624
        0.7906        274.35        242.340        246.652        303.589
        0.7921        274.89        242.238        246.340        303.510
        0.7936        275.42        242.072        246.037        303.441
